No,Nama,LLDikti,
145,AKADEMI KEBIDANAN BHAKTI PURNA HUSADA,4,
146,AKADEMI KEBIDANAN BHAKTI PUTRA BANGSA PURWOREJO,6,
147,AKADEMI KEBIDANAN BINA DAYA HUSADA,,
148,AKADEMI KEBIDANAN BINA HUSADA,,
149,AKADEMI KEBIDANAN BINA HUSADA TANGERANG,,
150,AKADEMI KEBIDANAN BINA SEHAT NUSANTARA,,
151,AKADEMI KEBIDANAN BORNEO MEDISTRA,,
152,AKADEMI KEBIDANAN BUDI MULIA,10,
153,AKADEMI KEBIDANAN BUDI MULIA,,
154,AKADEMI KEBIDANAN BUNDA AUNI,,
155,AKADEMI KEBIDANAN BUNDA KOTAMOBAGU,,
156,AKADEMI KEBIDANAN BUNGA BANGSA IDI,,
157,AKADEMI KEBIDANAN BUNGA BANGSAKU BANGKA,,
158,AKADEMI KEBIDANAN BUNGA HUSADA,,
159,AKADEMI KEBIDANAN BUNGA KALIMANTAN,,
160,AKADEMI KEBIDANAN BUTON RAYA,9,
161,AKADEMI KEBIDANAN CIANJUR,4,
162,AKADEMI KEBIDANAN DARMAIS PADANGSIDIMPUAN,,
163,AKADEMI KEBIDANAN DARMO MEDAN,1,
164,AKADEMI KEBIDANAN DARUL HUSADA,,
165,AKADEMI KEBIDANAN DARUSSALAM,13,
166,AKADEMI KEBIDANAN DEHASEN BENGKULU,2,
167,AKADEMI KEBIDANAN DELI HUSADA DELITUA MEDAN,1,
168,AKADEMI KEBIDANAN DELIMA,,
169,AKADEMI KEBIDANAN DHARMA HUSADA KEDIRI,7,
170,AKADEMI KEBIDANAN DHARMA HUSADA PEKANBARU,,
171,AKADEMI KEBIDANAN DHARMA PRAJA BONDOWOSO,,
172,AKADEMI KEBIDANAN DUTA DHARMA PATI,,
173,AKADEMI KEBIDANAN FARAMA MULYA,,
174,AKADEMI KEBIDANAN GATRA BUANA GURABATI TIDORE,,
175,AKADEMI KEBIDANAN GEMA NUSANTARA BEKASI,,
176,AKADEMI KEBIDANAN GEMILANG HUSADA KOTABUMI,2,
177,AKADEMI KEBIDANAN GRAHA ANANDA,,
178,AKADEMI KEBIDANAN GRAHA HUSADA SAMPANG,,
179,AKADEMI KEBIDANAN GRAHA MANDIRI CILACAP,6,
180,AKADEMI KEBIDANAN GRIYA HUSADA,7,
181,AKADEMI KEBIDANAN HAFSYAH MEDAN,,
182,AKADEMI KEBIDANAN HAJI AMIRULLAH,,
183,AKADEMI KEBIDANAN HAMPAR BAIDURI,,
184,AKADEMI KEBIDANAN HANG JEBAT,,
185,AKADEMI KEBIDANAN HARAPAN BUNDA,8,
186,AKADEMI KEBIDANAN HARAPAN IBU LANGSA,,
187,AKADEMI KEBIDANAN HARAPAN IBU PEKALONGAN,,
188,AKADEMI KEBIDANAN HARAPAN KELUARGA,1,
189,AKADEMI KEBIDANAN HARAPAN MAMA DELI SERDANG,,
190,AKADEMI KEBIDANAN HARAPAN MULYA PONOROGO,7,
191,AKADEMI KEBIDANAN HELVETIA MEDAN,1,
192,AKADEMI KEBIDANAN HEPPY ZAL PALEMBANG,,
193,AKADEMI KEBIDANAN HISARMA MEDAN,,
194,AKADEMI KEBIDANAN HUSADA GEMILANG,10,
195,AKADEMI KEBIDANAN IBRAHIMY,7,
196,AKADEMI KEBIDANAN IBTISAM AULIA,,
197,AKADEMI KEBIDANAN IKA BINA LABUHAN BATU,1,
198,AKADEMI KEBIDANAN IMAM BONJOL,10,
199,AKADEMI KEBIDANAN INDRAGIRI,,
200,AKADEMI KEBIDANAN INTERNASIONAL PEKANBARU,10,
201,AKADEMI KEBIDANAN JEMBER,,
202,AKADEMI KEBIDANAN KAMANRE PALOPO,9,
203,AKADEMI KEBIDANAN KARTIKA MITRA HUSADA,,
204,AKADEMI KEBIDANAN KARTINI JAKARTA,,
205,AKADEMI KEBIDANAN KARYA BUNDA HUSADA,4,
206,AKADEMI KEBIDANAN KELUARGA BUNDA JAMBI,,
207,AKADEMI KEBIDANAN KERIS HUSADA,3,
208,AKADEMI KEBIDANAN KH PUTRA,,
209,AKADEMI KEBIDANAN KHARISMA HUSADA BINJAI,,
210,AKADEMI KEBIDANAN KHOLISATUR RAHMI,,
211,AKADEMI KEBIDANAN KUDUS,,
212,AKADEMI KEBIDANAN KUTAI HUSADA,,
213,AKADEMI KEBIDANAN LA TANSA MASHIRO,,
214,AKADEMI KEBIDANAN LAKSAMANA,,
215,AKADEMI KEBIDANAN LANGKAT,,
216,AKADEMI KEBIDANAN LAPATAU BONE,9,
217,AKADEMI KEBIDANAN MADINA HUSADA,,
218,AKADEMI KEBIDANAN MAKARIWO,,
219,AKADEMI KEBIDANAN MANDIRI GRESIK,7,
220,AKADEMI KEBIDANAN MANNA,,
221,AKADEMI KEBIDANAN MATORKIS,1,
222,AKADEMI KEBIDANAN MEDICA BAKTI NUSANTARA,,
223,AKADEMI KEBIDANAN MEDICA BAKTI PERSADA,,
224,AKADEMI KEBIDANAN MEDIKA WIYATA KEDIRI,,
225,AKADEMI KEBIDANAN MENARA BUNDA,9,
226,AKADEMI KEBIDANAN MENARA PRIMADANI,,
227,AKADEMI KEBIDANAN MINASA UPA,,
228,AKADEMI KEBIDANAN MITRA HUSADA MEDAN,1,
229,AKADEMI KEBIDANAN MITRA HUSADA PADANG,,
230,AKADEMI KEBIDANAN MITRA SEHAT SIDOARJO,7,
231,AKADEMI KEBIDANAN MITRA SYUHADA PADANGSIDIMPUAN,1,
232,AKADEMI KEBIDANAN MUHAMMADIYAH BANDA ACEH,,
233,AKADEMI KEBIDANAN MUHAMMADIYAH KOTIM,,
234,AKADEMI KEBIDANAN MULIA MADANI YOGYAKARTA,,
235,AKADEMI KEBIDANAN MUNAWARRAH BIREUEN,1,
236,AKADEMI KEBIDANAN MUNAWARRAH BIREUEN,,
237,AKADEMI KEBIDANAN MUSLIMAT NAHDLATUL ULAMA KUDUS,,
238,AKADEMI KEBIDANAN MUTIARA MAHAKAM,11,
239,AKADEMI KEBIDANAN NAMIRA KOTANOPAN,1,
240,AKADEMI KEBIDANAN NURUL HASANAH,,
241,AKADEMI KEBIDANAN NUSANTARA 2000,,
242,AKADEMI KEBIDANAN NUSANTARA INDONESIA LUBUKLINGGAU,,
243,AKADEMI KEBIDANAN NUSANTARA JAYA,9,
244,AKADEMI KEBIDANAN NYAI AHMAD DAHLAN YOGYAKARTA,,
245,AKADEMI KEBIDANAN PALU SULAWESI TENGAH,,
246,AKADEMI KEBIDANAN PALUTA HUSADA,,
247,AKADEMI KEBIDANAN PAMENANG,7,
248,AKADEMI KEBIDANAN PANCA BHAKTI,,
249,AKADEMI KEBIDANAN PANCA BHAKTI PONTIANAK,,
250,AKADEMI KEBIDANAN PANTI WILASA,6,
251,AKADEMI KEBIDANAN PARAMATA RAHA,,
252,AKADEMI KEBIDANAN PASAMAN BARAT,10,
253,AKADEMI KEBIDANAN PATRIOT BANGSA HUSADA LAMPUNG,,
254,AKADEMI KEBIDANAN PAYUNG PELALAWAN,,
255,AKADEMI KEBIDANAN PELITA ILMU,4,
256,AKADEMI KEBIDANAN PEMERINTAH KABUPATEN KARO KABANJAHE,,
257,AKADEMI KEBIDANAN PEMERINTAH PROVINSI BALI SINGARAJA,,
258,AKADEMI KEBIDANAN PEMKAB MUARA ENIM,,
259,AKADEMI KEBIDANAN PERMATA HUSADA SAMARINDA,,
260,AKADEMI KEBIDANAN PERSADA PALEMBANG,,
261,AKADEMI KEBIDANAN PERSADA WAJO,9,
262,AKADEMI KEBIDANAN PETRO MANDAU HUSADA,10,
263,AKADEMI KEBIDANAN PGRI KEDIRI,7,
264,AKADEMI KEBIDANAN PONDOK PESANTREN ASSANADIYAH,,
265,AKADEMI KEBIDANAN PRIMA HUSADA,,
266,AKADEMI KEBIDANAN PRIMA INDONESIA,4,
267,AKADEMI KEBIDANAN PRIMA SENGKANG,9,
268,AKADEMI KEBIDANAN PUBLIC HEALTH MEDICAL NURSING MEULABOH,,
269,AKADEMI KEBIDANAN PUTRA JAYA MANDIRI BATAM,,
270,AKADEMI KEBIDANAN PUTRI BANGSA PARIAMAN,,
271,AKADEMI KEBIDANAN RANGGA HUSADA PRABUMULIH,,
272,AKADEMI KEBIDANAN REFORMASI,,
273,AKADEMI KEBIDANAN RESPATI,4,
274,AKADEMI KEBIDANAN RIZKI PATYA,,
275,AKADEMI KEBIDANAN RSPAD GATOT SOEBROTO,3,
276,AKADEMI KEBIDANAN SALEHA,,
277,AKADEMI KEBIDANAN SALMA,,
278,AKADEMI KEBIDANAN SANDI KARSA,9,
279,AKADEMI KEBIDANAN SARI MUTIARA MEDAN,1,
280,AKADEMI KEBIDANAN SAYID SABIQ INDRAMAYU,,
281,AKADEMI KEBIDANAN SEHAT MEDAN,,
282,AKADEMI KEBIDANAN SEHATI,,
283,AKADEMI KEBIDANAN SEMPENA NEGERI PEKANBARU,,
284,AKADEMI KEBIDANAN SENTRA BINA YUDHISTIRA TANGERANG,,
285,AKADEMI KEBIDANAN SENTRAL,,
286,AKADEMI KEBIDANAN SIFRA HUSADA,,
287,AKADEMI KEBIDANAN SINAR KASIH TORAJA,,
288,AKADEMI KEBIDANAN SINGKAWANG,,
289,AKADEMI KEBIDANAN SISMADI,,
290,AKADEMI KEBIDANAN SITI FATIMAH,6,
291,AKADEMI KEBIDANAN ST. BENEDICTA PONTIANAK,11,
292,AKADEMI KEBIDANAN SUKAWATI LAWANG,,
293,AKADEMI KEBIDANAN SURYA MANDIRI KOTA BIMA,,
294,AKADEMI KEBIDANAN TAHIRAH AL BAETI BULUKUMBA,,
295,AKADEMI KEBIDANAN TARUTUNG PEMKAB TAPANULI UTARA,,
296,AKADEMI KEBIDANAN TIARA BUNDA,,
297,AKADEMI KEBIDANAN TRINITA MANADO,,
298,AKADEMI KEBIDANAN TUNAS HARAPAN BANGSA,,
299,AKADEMI KEBIDANAN UMI BAGAN BATU,,
300,AKADEMI KEBIDANAN UMMI KHASANAH,5,
301,AKADEMI KEBIDANAN WAHANA HUSADA BANDAR JAYA,2,
302,AKADEMI KEBIDANAN WIJAYA HUSADA,4,
303,AKADEMI KEBIDANAN WIRA BUANA METRO,,
304,AKADEMI KEBIDANAN WIRA HUSADA NUSANTARA,7,
305,AKADEMI KEBIDANAN WIYATA MITRA HUSADA NGANJUK,,
306,AKADEMI KEBIDANAN YALEKA MARO MERAUKE,,
307,AKADEMI KEBIDANAN YAPKESBI BANJARBARU,11,
308,AKADEMI KEBIDANAN YAPMA MAKASSAR,,
309,AKADEMI KEBIDANAN YAPPI SRAGEN,6,
310,AKADEMI KEBIDANAN YASPEN TUGU IBU,,
311,AKADEMI KEBIDANAN YAYASAN KESEHATAN NASIONAL,9,
312,AKADEMI KEBIDANAN YAYASAN PENDIDIKAN MONA,13,
313,AKADEMI KEBIDANAN YAYASAN RUMAH SAKIT JAKARTA,,
314,AKADEMI KEBIDANAN YPDR,,
315,AKADEMI KEBIDANAN YPSDMI,,
316,Akademi Kelautan Banyuwangi,7,
317,AKADEMI KEPERAWATAN ABULYATAMA,,
318,AKADEMI KEPERAWATAN AISYIYAH PADANG,10,
319,AKADEMI KEPERAWATAN AL HIKMAH,,
320,AKADEMI KEPERAWATAN AL-IKHLAS CISARUA,,
321,AKADEMI KEPERAWATAN ALKAUTSAR TEMANGGUNG,,
322,AKADEMI KEPERAWATAN AL-MA ARIF,,
323,AKADEMI KEPERAWATAN ANDAKARA,,
324,AKADEMI KEPERAWATAN ANDALUSIA JAKARTA,,
325,AKADEMI KEPERAWATAN ANTARIKSA,,
326,AKADEMI KEPERAWATAN ARTA KABANJAHE,1,
327,Akademi Keperawatan As-Syafi`iyah,3,
328,AKADEMI KEPERAWATAN BAHRUL ULUM JOMBANG,,
329,AKADEMI KEPERAWATAN BAITUL HIKMAH,,
330,AKADEMI KEPERAWATAN BAITURRAHMAH PADANG,10,
331,AKADEMI KEPERAWATAN BALA KESELAMATAN,16,
332,AKADEMI KEPERAWATAN BARAMULI,16,
333,AKADEMI KEPERAWATAN BATARI TOJA,,
334,AKADEMI KEPERAWATAN BERKALA WIDYA HUSADA,,
335,AKADEMI KEPERAWATAN BETHESDA SERUKAM,,
336,AKADEMI KEPERAWATAN BETHESDA TOMOHON,,
337,AKADEMI KEPERAWATAN BHAKTI HUSADA CIKARANG,,
338,AKADEMI KEPERAWATAN BIDARA MUKTI,,
339,AKADEMI KEPERAWATAN BINA HUSADA TEBING TINGGI,,
340,AKADEMI KEPERAWATAN BINA INSAN JAKARTA,3,
341,AKADEMI KEPERAWATAN BINA INSANI SAKTI,10,
342,AKADEMI KEPERAWATAN BINALITA SUDAMA,,
343,AKADEMI KEPERAWATAN BUNDA DELIMA,,
344,AKADEMI KEPERAWATAN BUNTET PESANTREN,4,
345,AKADEMI KEPERAWATAN COLUMBIA ASIA,,
346,AKADEMI KEPERAWATAN DARMO MEDAN,1,
347,AKADEMI KEPERAWATAN DELI HUSADA DELITUA MEDAN,1,
348,AKADEMI KEPERAWATAN DHARMA HUSADA,,
349,AKADEMI KEPERAWATAN DHARMA HUSADA CIREBON,,
350,AKADEMI KEPERAWATAN DHARMA HUSADA PEKANBARU,10,
351,AKADEMI KEPERAWATAN DHARMA INSAN PONTIANAK,,
352,AKADEMI KEPERAWATAN DHARMA WACANA METRO,,
353,AKADEMI KEPERAWATAN DIAN HUSADA,,
