No,Nama,LLDikti,
2677,SEKOLAH TINGGI ILMU KESEHATAN SITI KHADIJAH,,
2678,SEKOLAH TINGGI ILMU KESEHATAN ST. FATIMAH,,
2679,SEKOLAH TINGGI ILMU KESEHATAN STELLA MARIS,,
2680,SEKOLAH TINGGI ILMU KESEHATAN SUAKA INSAN,,
2681,SEKOLAH TINGGI ILMU KESEHATAN SUKABUMI,,
2682,SEKOLAH TINGGI ILMU KESEHATAN SUMATERA UTARA,,
2683,SEKOLAH TINGGI ILMU KESEHATAN SURABAYA,7,
2684,SEKOLAH TINGGI ILMU KESEHATAN SURYA GLOBAL,,
2685,SEKOLAH TINGGI ILMU KESEHATAN SURYA MITRA HUSADA KEDIRI,,
2686,SEKOLAH TINGGI ILMU KESEHATAN SYEDZA SAINTIKA,,
2687,SEKOLAH TINGGI ILMU KESEHATAN SYEDZA SAINTIKA PADANG,,
2688,SEKOLAH TINGGI ILMU KESEHATAN SYUHADA PADANGSIDIMPUAN,,
2689,SEKOLAH TINGGI ILMU KESEHATAN TAMALATEA MAKASSAR,,
2690,SEKOLAH TINGGI ILMU KESEHATAN TANA TORAJA,9,
2691,SEKOLAH TINGGI ILMU KESEHATAN TANA TORAJA,,
2692,SEKOLAH TINGGI ILMU KESEHATAN TANAWALI PERSADA,,
2693,SEKOLAH TINGGI ILMU KESEHATAN TARUMANAGARA,,
2694,SEKOLAH TINGGI ILMU KESEHATAN TELOGOREJO SEMARANG,6,
2695,SEKOLAH TINGGI ILMU KESEHATAN TELOGOREJO SEMARANG,,
2696,SEKOLAH TINGGI ILMU KESEHATAN TENGKU MAHARATU,10,
2697,SEKOLAH TINGGI ILMU KESEHATAN TENGKU MAHARATU,,
2698,SEKOLAH TINGGI ILMU KESEHATAN TRI MANDIRI SAKTI BENGKULU,2,
2699,SEKOLAH TINGGI ILMU KESEHATAN TRI MANDIRI SAKTI BENGKULU,,
2700,SEKOLAH TINGGI ILMU KESEHATAN TUJUH BELAS,,
2701,SEKOLAH TINGGI ILMU KESEHATAN WIDYA CIPTA HUSADA,,
2702,SEKOLAH TINGGI ILMU KESEHATAN WIDYA DHARMA HUSADA TANGERANG,4,
2703,SEKOLAH TINGGI ILMU KESEHATAN WIDYA DHARMA HUSADA TANGERANG,,
2704,SEKOLAH TINGGI ILMU KESEHATAN WIDYA DHARMA HUSADA TANGERANG,,
2705,SEKOLAH TINGGI ILMU KESEHATAN WIDYA HUSADA,6,
2706,SEKOLAH TINGGI ILMU KESEHATAN WIDYA HUSADA,,
2707,Sekolah Tinggi Ilmu Kesehatan Widya Husada,6,
2708,SEKOLAH TINGGI ILMU KESEHATAN WIDYA HUSADA MEDAN,,
2709,SEKOLAH TINGGI ILMU KESEHATAN WIDYA NUSANTARA,,
2710,SEKOLAH TINGGI ILMU KESEHATAN WIDYA NUSANTARA PALU,,
2711,SEKOLAH TINGGI ILMU KESEHATAN WIDYAGAMA HUSADA,,
2712,SEKOLAH TINGGI ILMU KESEHATAN WIDYAGAMA HUSADA MALANG,,
2713,SEKOLAH TINGGI ILMU KESEHATAN WIJAYA HUSADA BOGOR,,
2714,SEKOLAH TINGGI ILMU KESEHATAN WILLIAM BOOTH,7,
2715,SEKOLAH TINGGI ILMU KESEHATAN WILLIAM BOOTH,,
2716,SEKOLAH TINGGI ILMU KESEHATAN WIRA HUSADA,5,
2717,SEKOLAH TINGGI ILMU KESEHATAN WIRA HUSADA,,
2718,SEKOLAH TINGGI ILMU KESEHATAN WIRA MEDIKA BALI,,
2719,SEKOLAH TINGGI ILMU KESEHATAN WIYATA HUSADA SAMARINDA,11,
2720,SEKOLAH TINGGI ILMU KESEHATAN YAHYA BIMA,8,
2721,SEKOLAH TINGGI ILMU KESEHATAN YAHYA BIMA,,
2722,Sekolah Tinggi Ilmu Kesehatan Yapika Makassar,9,
2723,SEKOLAH TINGGI ILMU KESEHATAN YAPIKA MAKASSAR,,
2724,SEKOLAH TINGGI ILMU KESEHATAN YARSI MATARAM,8,
2725,SEKOLAH TINGGI ILMU KESEHATAN YARSI MATARAM,,
2726,SEKOLAH TINGGI ILMU KESEHATAN YARSI PONTIANAK,11,
2727,SEKOLAH TINGGI ILMU KESEHATAN YARSI PONTIANAK,,
2728,SEKOLAH TINGGI ILMU KESEHATAN YARSI SUMATERA BARAT,10,
2729,SEKOLAH TINGGI ILMU KESEHATAN YARSI SUMATERA BARAT,,
2730,SEKOLAH TINGGI ILMU KESEHATAN YATSI,,
2731,SEKOLAH TINGGI ILMU KESEHATAN YAYASAN RS DR. SOETOMO,7,
2732,SEKOLAH TINGGI ILMU KESEHATAN YAYASAN RS DR. SOETOMO,,
2733,SEKOLAH TINGGI ILMU KESEHATAN YOGYAKARTA,5,
2734,SEKOLAH TINGGI ILMU KESEHATAN YOGYAKARTA,,
2735,SEKOLAH TINGGI ILMU KESEHATAN YPAK PADANG,,
2736,SEKOLAH TINGGI ILMU KESEHATAN YPIB,4,
2737,SEKOLAH TINGGI ILMU KESEHATAN YPIB,,
2738,Sekolah Tinggi Ilmu Kesejahteraan Sosial Manado,16,
2739,Sekolah Tinggi Ilmu Komputer Al-khairiyah,4,
2740,Sekolah Tinggi Ilmu Komputer Ambon,12,
2741,Sekolah Tinggi Ilmu Komputer Binaniaga,4,
2742,Sekolah Tinggi Ilmu Komputer Dinamika Bangsa,10,
2743,Sekolah Tinggi Ilmu Komputer El Rahma,4,
2744,Sekolah Tinggi Ilmu Komputer Medan,1,
2745,Sekolah Tinggi Ilmu Komputer Muhammadiyah Batam,10,
2746,Sekolah Tinggi Ilmu Komputer Pelita Indonesia,10,
2747,Sekolah Tinggi Ilmu Komputer PGRI Banyuwangi,7,
2748,Sekolah Tinggi Ilmu Komputer Poltek Cirebon,4,
2749,Sekolah Tinggi Ilmu Komputer Rajawali,16,
2750,Sekolah Tinggi Ilmu Komputer Yos Sudarso,6,
2751,Sekolah Tinggi Ilmu Komunikasi,6,
2752,Sekolah Tinggi Ilmu Komunikasi Aws,7,
2753,Sekolah Tinggi Ilmu Komunikasi Bandung,4,
2754,Sekolah Tinggi Ilmu Komunikasi Dan Sekretari Tarakanita,3,
2755,Sekolah Tinggi Ilmu Komunikasi Indonesia Maju,3,
2756,Sekolah Tinggi Ilmu Komunikasi Inter Studi,3,
2757,Sekolah Tinggi Ilmu Komunikasi ITKP,3,
2758,Sekolah Tinggi Ilmu Komunikasi LSPR,3,
2759,Sekolah Tinggi Ilmu Komunikasi Mahakam,11,
2760,Sekolah Tinggi Ilmu Komunikasi Pembangunan,1,
2761,Sekolah Tinggi Ilmu Komunikasi Profesi Indonesia,3,
2762,Sekolah Tinggi Ilmu Komunikasi Yogyakarta,5,
2763,Sekolah Tinggi Ilmu Manajemen,13,
2764,Sekolah Tinggi Ilmu Manajemen Budi Bakti,4,
2765,Sekolah Tinggi Ilmu Manajemen Dan Bisnis Gorontalo,16,
2766,Sekolah Tinggi Ilmu Manajemen Dan Ilmu Komputer ESQ,3,
2767,Sekolah Tinggi Ilmu Manajemen Handayani,8,
2768,Sekolah Tinggi Ilmu Manajemen Indonesia Banjarmasin,11,
2769,Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI,9,
2770,Sekolah Tinggi Ilmu Manajemen Informatika &amp; Teknik Komputer Agamua Wamena Papua,14,
2771,Sekolah Tinggi Ilmu Manajemen Informatika Dan Komputer Sepuluh Nopember Jayapura,14,
2772,Sekolah Tinggi Ilmu Manajemen Lasharan Jaya Makassar,9,
2773,Sekolah Tinggi Ilmu Manajemen LPI Makassar,9,
2774,Sekolah Tinggi Ilmu Manajemen Nitro Makassar,9,
2775,Sekolah Tinggi Ilmu Manajemen Pase,13,
2776,Sekolah Tinggi Ilmu Manajemen Prima Graha,4,
2777,Sekolah Tinggi Ilmu Manajemen Publik Makassar,9,
2778,Sekolah Tinggi Ilmu Manajemen Saint Mary,3,
2779,Sekolah Tinggi Ilmu Manajemen Shanti Bhuana,11,
2780,Sekolah Tinggi Ilmu Manajemen Sukma,1,
2781,Sekolah Tinggi Ilmu Manajemen YKPN,5,
2782,Sekolah Tinggi Ilmu Maritim Ami,3,
2783,Sekolah Tinggi Ilmu Maritim AMI,3,
2784,Sekolah Tinggi Ilmu Maritim Mutiara Jaya,2,
2785,Sekolah Tinggi Ilmu Maritim Mutiara Jaya Lampung,2,
2786,Sekolah Tinggi Ilmu Pariwisata Manado,16,
2787,Sekolah Tinggi Ilmu Pelayaran Jakarta,,
2788,Sekolah Tinggi Ilmu Pemerintahan Abdi Negara,3,
2789,Sekolah Tinggi Ilmu Pendidikan Bunga Bangsa,11,
2790,Sekolah Tinggi Ilmu Pendidikan Islam Maghfirah Bina Umat,,
2791,Sekolah Tinggi Ilmu Perbankan Syariah Al-Ma'soem Bandung,,
2792,Sekolah Tinggi Ilmu Perikanan Malang,7,
2793,Sekolah Tinggi Ilmu Pertanian Agrobisnis Perkebunan,1,
2794,Sekolah Tinggi Ilmu Pertanian Amuntai,11,
2795,Sekolah Tinggi Ilmu Pertanian Belitang,2,
2796,Sekolah Tinggi Ilmu Pertanian Berau,11,
2797,Sekolah Tinggi Ilmu Pertanian Dharma Wacana,2,
2798,Sekolah Tinggi Ilmu Pertanian Farming,6,
2799,Sekolah Tinggi Ilmu Pertanian Kendari,9,
2800,Sekolah Tinggi Ilmu Pertanian Mujahidin Toli-toli,16,
2801,Sekolah Tinggi Ilmu Pertanian Petra Baliem Wamena,14,
2802,Sekolah Tinggi Ilmu Pertanian Puangrimanggalatung,9,
2803,Sekolah Tinggi Ilmu Pertanian Rejang Lebong,2,
2804,Sekolah Tinggi Ilmu Pertanian Sriwigama,2,
2805,Sekolah Tinggi Ilmu Pertanian Surya Dharma,2,
2806,Sekolah Tinggi Ilmu Pertanian Wuna Raha,9,
2807,Sekolah Tinggi Ilmu Pertanian Yapi Bone,9,
2808,Sekolah Tinggi Ilmu Pertanian Yashafa,13,
2809,Sekolah Tinggi Ilmu Psikologi Harapan Bangsa,13,
2810,Sekolah Tinggi Ilmu Qur`an (STIQ) Amuntai,,
2811,Sekolah Tinggi Ilmu Shuffah Al-Qur'an Abdullah Bin Mas'ud Online Lampung Selatan,,
2812,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik 17-8-1945 Makassar,9,
2813,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Al-Washliyah,13,
2814,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Amal Ilmiah Yapis Wamena,14,
2815,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Banten Raya,4,
2816,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Bina Putera Banjar,4,
2817,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Candradimuka,2,
2818,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Dharma Wacana,2,
2819,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Imam Bonjol,10,
2820,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Kartika Bangsa,5,
2821,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Muhammadiyah Sinjai,9,
2822,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Panca Bhakti Palu,16,
2823,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Persada Bunda,10,
2824,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Raja Haji,10,
2825,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Widuri,3,
2826,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Widyapuri Mandiri,4,
2827,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Yaleka Maro,14,
2828,Sekolah Tinggi Ilmu Sosial Dan Politik Fajar Timur,15,
2829,Sekolah Tinggi Ilmu Sosial Dan Politik Mbojo,8,
2830,Sekolah Tinggi Ilmu Sosial Dan Politik Veteran Palopo,9,
2831,Sekolah Tinggi Ilmu Sosial Politik Wira Bhakti,8,
2832,Sekolah Tinggi Ilmu Syari`ah Al-Aziziyah Sabang,,
2833,Sekolah Tinggi Ilmu Syari`ah Al-Ittihad Bima,,
2834,Sekolah Tinggi Ilmu Syari`ah Darul Ulum Lampung Timur,,
2835,Sekolah Tinggi Ilmu Syari`ah Dayah Amal,,
2836,Sekolah Tinggi Ilmu Syari`ah Hidayatullah,,
2837,Sekolah Tinggi Ilmu Syari`ah Miftahul Ulum Lumajang,,
2838,Sekolah Tinggi Ilmu Syari`ah Nahdlatul Ulama Cianjur,,
2839,Sekolah Tinggi Ilmu Syari`ah Syarif Abdurrahman Pontianak,,
2840,Sekolah Tinggi Ilmu Syari`ah Wal Aqidah Ash-Shofa Manonjaya,,
2841,Sekolah Tinggi Ilmu Syariah (STIS) Al-Manar,,
2842,Sekolah Tinggi Ilmu Syari'ah (STIS) Muhammadiyah Pringsewu,,
2843,Sekolah Tinggi Ilmu Syariah (STIS) Nurud Dhalam,,
2844,Sekolah Tinggi Ilmu Syariah (STIS) Ummul Ayman Pidie Jaya,,
2845,Sekolah Tinggi Ilmu Syariah Abu Zairi Bondowoso Jawa Timur,,
2846,Sekolah Tinggi Ilmu Syariah Al Wafa,,
2847,Sekolah Tinggi Ilmu Syariah As Salafiyah Sumber Duko,,
2848,Sekolah Tinggi Ilmu Syari'ah Darul Falah Bondowoso Jawa Timur,,
2849,Sekolah Tinggi Ilmu Syari'ah Darussalam Bermi,,
2850,Sekolah Tinggi Ilmu Syariah Darusy Syafa'ah Lampung Tengah,,
2851,Sekolah Tinggi Ilmu Syariah Husnul Khotimah (STISHK) Kuningan,,
2852,Sekolah Tinggi Ilmu Syariah Nahdlatul Ulama (STISNU) Nusantara Tangerang,,
2853,Sekolah Tinggi Ilmu Syari'ah Nahdlatul Ulama Aceh,,
2854,Sekolah Tinggi Ilmu Syariah Sayid Mohammad Alawi Al Maliki Bondowoso Jawa Timur,,
2855,Sekolah Tinggi Ilmu Syari'ah Sultan Fatah,,
2856,Sekolah Tinggi Ilmu Tarbiyah (STIT) Al-Chaeriyah Mamuju Sulawesi Barat,,
2857,Sekolah Tinggi Ilmu Tarbiyah (STIT) Islamiyah Nusa Tenggara Barat,,
2858,Sekolah Tinggi Ilmu Tarbiyah (STIT) Mumtaz,,
2859,Sekolah Tinggi Ilmu Tarbiyah Ad-Da`wah Rangkasbitung,,
2860,Sekolah Tinggi Ilmu Tarbiyah Agus Salim Metro Lampung,,
2861,Sekolah Tinggi Ilmu Tarbiyah Ahlusunah Bukittinggi,,
2862,Sekolah Tinggi Ilmu Tarbiyah Al Bukhary Labuhan Batu,,
2863,Sekolah Tinggi Ilmu Tarbiyah Al Hikmah Bumi Agung Way Kanan,,
2864,Sekolah Tinggi Ilmu Tarbiyah Al Hilal Sigli,,
2865,Sekolah Tinggi Ilmu Tarbiyah Al Karimiyah,,
2866,Sekolah Tinggi Ilmu Tarbiyah Al- Kifayah Riau,,
2867,Sekolah Tinggi Ilmu Tarbiyah Al Mubarok Bandar Mataram,,
2868,Sekolah Tinggi Ilmu Tarbiyah Al-Azhar Diniyah,,
2869,Sekolah Tinggi Ilmu Tarbiyah Al-Fattah Siman,,
2870,Sekolah Tinggi Ilmu Tarbiyah Al-Hikmah Tebing Tinggi,,
2871,Sekolah Tinggi Ilmu Tarbiyah Al-Ihsan Baleendah Bandung Jawa Barat,,
2872,Sekolah Tinggi Ilmu Tarbiyah Al-Marhalah Al-Ulya Bekasi,,
2873,Sekolah Tinggi Ilmu Tarbiyah Al-Multazam,,
2874,Sekolah Tinggi Ilmu Tarbiyah Al-Muslihuun,,
2875,Sekolah Tinggi Ilmu Tarbiyah Al-Quraniyah Manna,,
2876,Sekolah Tinggi Ilmu Tarbiyah Al-Urwatul Wutsqo,,
2877,Sekolah Tinggi Ilmu Tarbiyah Aqidah Usymuni,,
2878,Sekolah Tinggi Ilmu Tarbiyah Ar-Raudhah,,
2879,Sekolah Tinggi Ilmu Tarbiyah Ar-Risalah Inhil Riau,,
2880,Sekolah Tinggi Ilmu Tarbiyah Bustanul Arifin,,
2881,Sekolah Tinggi Ilmu Tarbiyah Darul Fatah,,
2882,Sekolah Tinggi Ilmu Tarbiyah Darul Fattah,,
2883,Sekolah Tinggi Ilmu Tarbiyah Darul Ulum Kotabaru,,
2884,Sekolah Tinggi Ilmu Tarbiyah Darul Ulum Sarolangun Jambi,,
2885,Sekolah Tinggi Ilmu Tarbiyah Darussalamah Pidie Banda Aceh,,
2886,Sekolah Tinggi Ilmu Tarbiyah DDI Pasangkayu,,
2887,Sekolah Tinggi Ilmu Tarbiyah Diniyyah Putri Rakmat Elyunusiyyah Padang Panjang,,
2888,Sekolah Tinggi Ilmu Tarbiyah Hidayatullah Batam Kepulauan Riau,,
2889,Sekolah Tinggi Ilmu Tarbiyah Ibnu Khaldun Nunukan,,
2890,Sekolah Tinggi Ilmu Tarbiyah Ibnu Sina Malang,,
2891,Sekolah Tinggi Ilmu Tarbiyah INSIDA,,
2892,Sekolah Tinggi Ilmu Tarbiyah Kabupaten Tebo,,
2893,Sekolah Tinggi Ilmu Tarbiyah Kupang,,
2894,Sekolah Tinggi Ilmu Tarbiyah Lingga Kepulauan Riau,,
2895,Sekolah Tinggi Ilmu Tarbiyah Madani Yogyakarta,,
2896,Sekolah Tinggi Ilmu Tarbiyah Makhdum Ibrahim Tuban,,
2897,Sekolah Tinggi Ilmu Tarbiyah Makrifatul Ilmi Bengkulu Selatan,,
2898,Sekolah Tinggi Ilmu Tarbiyah Mamba'ul Ulum Jambi,,
2899,Sekolah Tinggi Ilmu Tarbiyah Misbahul Ulum Gumawang,,
2900,Sekolah Tinggi Ilmu Tarbiyah Muara Enim,,
2901,Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Aceh Barat Daya,,
2902,Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Paciran,,
2903,Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Tanjung Redeb,,
2904,Sekolah Tinggi Ilmu Tarbiyah Muslim Asia Afrika Jakarta,,
2905,Sekolah Tinggi Ilmu Tarbiyah Nahdlatul Ulama (STITNU) Al-Farabi Pangandaran,,
2906,Sekolah Tinggi Ilmu Tarbiyah Nahdlatul Ulama Sakinah Dharmasraya,,
2907,Sekolah Tinggi Ilmu Tarbiyah Nahdlatul Ulama Sumber Agung Oku Timur,,
2908,Sekolah Tinggi Ilmu Tarbiyah Nusantara Bekasi,,
2909,Sekolah Tinggi Ilmu Tarbiyah Payakumbuh,,
2910,Sekolah Tinggi Ilmu Tarbiyah PGRI Pasuruan,,
2911,Sekolah Tinggi Ilmu Tarbiyah Qurrota Ayun,,
2912,Sekolah Tinggi Ilmu Tarbiyah Raden Santri Gresik,,
2913,Sekolah Tinggi Ilmu Tarbiyah Rakeyan Santang Karawang Jawa Barat,,
2914,Sekolah Tinggi Ilmu Tarbiyah Sirojul Falah Bogor,,
2915,Sekolah Tinggi Ilmu Tarbiyah Syamsuddhuha Aceh Utara Banda Aceh,,
2916,Sekolah Tinggi Ilmu Tarbiyah Syekh Muhammad Nafis,,
2917,Sekolah Tinggi Ilmu Tarbiyah Togo Ambarsari Bondowoso Jawa Timur,,
2918,Sekolah Tinggi Ilmu Tarbiyah Tunas Bangsa Banjarnegara Jawa Tengah,,
2919,Sekolah Tinggi Ilmu Tarbiyah YPI Lahat,,
2920,Sekolah Tinggi Ilmu Teknik Bina Putra,4,
2921,Sekolah Tinggi Ilmu Teknik Prabumulih,2,
2922,Sekolah Tinggi Ilmu Teknik Serasan,2,
2923,Sekolah Tinggi Ilmu Teknik Trisula,2,
2924,Sekolah Tinggi Ilmu Ushuluddin Darul Quran,,
2925,Sekolah Tinggi Ilmu Ushuluddin Darussalam,,
2926,Sekolah Tinggi Ilmu Ushuluddin Masjid Al Akbar Surabaya Jawa Timur,,
2927,Sekolah Tinggi Ilmu Ushuluddin Wadi Mubarak Bogor Jawa Barat,,
2928,Sekolah Tinggi Ilmu-Ilmu Sosial (STIS) Tual,12,
2929,Sekolah Tinggi Informatika Komputer Artha Buana,15,
2930,Sekolah Tinggi Intelijen Negara,,
2931,Sekolah Tinggi Internasional Konservatori Musik Indonesia,3,
2932,Sekolah Tinggi Islam Al-Mukmin Ngruki Cemani Sukoharjo,,
2933,Sekolah Tinggi Islam Blambangan Banyuwangi,,
2934,Sekolah Tinggi Islam Kendal,,
2935,Sekolah Tinggi Katolik Seminari Santo Yohanes Salib,,
2936,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Agama Hindu Singaraja,8,
2937,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Ahlussunnah,10,
2938,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Al Hikmah Surabaya,7,
2939,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Al Islam Tunas Bangsa Bandar Lampung,2,
2940,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Al Maksum,1,
2941,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Al-Amin Indramayu,4,
2942,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Amal Bakti,1,
2943,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Andi Mattappa,9,
2944,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan An-Nur Nanggroe Aceh,13,
2945,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Arrahmaniyah,4,
2946,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Banten,4,
2947,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Biak,14,
2948,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Bima,8,
2949,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Bina Bangsa Getsempena,13,
2950,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Bina Insan Mandiri,7,
2951,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Bina Mutiara,4,
2952,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Bina Mutiara Sukabumi,4,
2953,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Budi Daya Binjai,1,
2954,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Catur Sakti,5,
2955,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Citra Bakti,15,
2956,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Citra Bina Nusantara,15,
2957,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Cokroaminoto Pinrang,9,
2958,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Darud Da`wah Wal Irsyad Pinrang,9,
2959,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Dharma Wacana Metro,2,
2960,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Gotong Royong Masohi,12,
2961,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Insan Madani Airmolek,10,
2962,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Invada Cirebon,4,
2963,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Ita Wotu Nusa,12,
2964,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Kie Raha,12,
2965,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Kumala Lampung,2,
2966,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Labuhan Batu,1,
2967,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Media Nusantara Citra,3,
2968,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Melawi,11,
2969,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Meranti,10,
2970,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Modern Ngawi,7,
2971,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Aceh Barat Daya,13,
2972,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Bangka Belitung,2,
2973,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Batang,6,
2974,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Bogor,4,
2975,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Bone,9,
2976,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Bulukumba,9,
2977,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Enrekang,9,
2978,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Kotabumi,2,
2979,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Kuningan,4,
2980,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Manokwari,14,
2981,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Pagaralam,2,
2982,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Pringsewu,2,
2983,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Rappang,9,
2984,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Sorong,14,
2985,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Muhammadiyah Sungai Penuh,10,
2986,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Nurul Huda,2,
2987,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Nuuwar,14,
2988,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Padang Lawas,1,
2989,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Pamane Talino,11,
2990,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Pangeran Dharma Kusuma Segeran Juntinyuat Indramayu,4,
2991,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Paracendekia N W Sumbawa,8,
2992,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Paris Barantai,11,
2993,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Pasundan,4,
2994,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Pelita Pratama,4,
2995,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Pembangunan Indonesia,9,
2996,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Persada Khatulistiwa Sintang,11,
2997,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Bangkalan,7,
2998,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Banjarmasin,11,
2999,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Lubuklinggau,2,
3000,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Lumajang,7,
3001,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Metro,2,
3002,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Nganjuk,7,
3003,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Ngawi,7,
3004,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Pacitan,7,
3005,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Papua,14,
3006,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Sidoarjo,7,
3007,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Situbondo,7,
3008,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Sumatera Barat,10,
3009,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Sumenep,7,
3010,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Trenggalek,7,
3011,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan PGRI Tulungagung,7,
3012,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Puangrimaggalatung,9,
3013,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Purwakarta,4,
3014,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Qomaruddin Gresik,7,
3015,Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Rosalia Lampung,2,
